type,date,close
Taylor Swift,2008-01-01T00:00:00Z,8
Taylor Swift,2008-02-01T00:00:00Z,9
Taylor Swift,2008-03-01T00:00:00Z,8
Taylor Swift,2008-04-01T00:00:00Z,8
Taylor Swift,2008-05-01T00:00:00Z,9
Taylor Swift,2008-06-01T00:00:00Z,8
Taylor Swift,2008-07-01T00:00:00Z,7
Taylor Swift,2008-08-01T00:00:00Z,9
Taylor Swift,2008-09-01T00:00:00Z,15
Taylor Swift,2008-10-01T00:00:00Z,15
Taylor Swift,2008-11-01T00:00:00Z,34
Taylor Swift,2008-12-01T00:00:00Z,26
Taylor Swift,2009-01-01T00:00:00Z,23
Taylor Swift,2009-02-01T00:00:00Z,23
Taylor Swift,2009-03-01T00:00:00Z,20
Taylor Swift,2009-04-01T00:00:00Z,19
Taylor Swift,2009-05-01T00:00:00Z,21
Taylor Swift,2009-06-01T00:00:00Z,22
Taylor Swift,2009-07-01T00:00:00Z,19
Taylor Swift,2009-08-01T00:00:00Z,20
Taylor Swift,2009-09-01T00:00:00Z,66
Taylor Swift,2009-10-01T00:00:00Z,28
Taylor Swift,2009-11-01T00:00:00Z,48
Taylor Swift,2009-12-01T00:00:00Z,33
Taylor Swift,2010-01-01T00:00:00Z,26
Taylor Swift,2010-02-01T00:00:00Z,30
Taylor Swift,2010-03-01T00:00:00Z,18
Taylor Swift,2010-04-01T00:00:00Z,17
Taylor Swift,2010-05-01T00:00:00Z,16
Taylor Swift,2010-06-01T00:00:00Z,13
Taylor Swift,2010-07-01T00:00:00Z,12
Taylor Swift,2010-08-01T00:00:00Z,20
Taylor Swift,2010-09-01T00:00:00Z,23
Taylor Swift,2010-10-01T00:00:00Z,41
Taylor Swift,2010-11-01T00:00:00Z,40
Taylor Swift,2010-12-01T00:00:00Z,32
Taylor Swift,2011-01-01T00:00:00Z,28
Taylor Swift,2011-02-01T00:00:00Z,24
Taylor Swift,2011-03-01T00:00:00Z,17
Taylor Swift,2011-04-01T00:00:00Z,19
Taylor Swift,2011-05-01T00:00:00Z,19
Taylor Swift,2011-06-01T00:00:00Z,20
Taylor Swift,2011-07-01T00:00:00Z,18
